,index,PER_percentile,TS%_percentile,ORB%_percentile,DRB%_percentile,AST%_percentile,STL%_percentile,BLK%_percentile,TOV%_percentile,WS_percentile,3P%_percentile,2P%_percentile,FT%_percentile,PTS_percentile,MP_percentile,Player Name,Main Percentile,Adjusted Percentile
0,369,0.7271714922048997,0.7338530066815144,0.5501113585746102,0.22717149220489977,0.5723830734966593,0.7416481069042317,0.3307349665924276,0.5489977728285078,0.7383073496659243,0.14794520547945206,0.7243303571428571,0.47235023041474655,0.8173719376391982,0.779510022271715,Stacey Augmon,0.48882508998866187,0.41772518787511753
1,370,0.8429844097995546,0.4465478841870824,0.23942093541202672,0.21937639198218262,0.9743875278396437,0.955456570155902,0.3307349665924276,0.6191536748329621,0.8997772828507795,0.8479452054794521,0.32924107142857145,0.43317972350230416,0.8363028953229399,0.9309576837416481,Mookie Blaylock,0.5316339026257219,0.8533911037435166
2,372,0.5712694877505567,0.5467706013363028,0.46325167037861914,0.11915367483296214,0.5233853006681515,0.534521158129176,0.39532293986636974,0.2639198218262806,0.6525612472160356,0.5164383561643836,0.5424107142857143,0.6463133640552995,0.755011135857461,0.6926503340757239,Duane Ferrell,0.4353552981578208,-0.12643767005730128
3,373,0.49665924276169265,0.2906458797327394,0.9131403118040089,0.7316258351893096,0.32516703786191536,0.0957683741648107,0.8608017817371938,0.4465478841870824,0.2516703786191537,0.14794520547945206,0.5546875,0.3986175115207373,0.267260579064588,0.21603563474387527,Greg Foster,0.38536916814151223,-0.6351472504631633
4,374,0.4576837416481069,0.5389755011135857,0.30846325167037864,0.3685968819599109,0.7093541202672605,0.8708240534521158,0.21158129175946547,0.7015590200445434,0.5545657015590201,0.6164383561643836,0.7723214285714286,0.45506912442396313,0.6592427616926503,0.6035634743875279,Paul Graham,0.4816450156217876,0.3446534654340362
5,375,0.3307349665924276,0.6191536748329621,0.09242761692650334,0.15924276169265034,0.9265033407572383,0.7416481069042317,0.11469933184855234,0.8897550111358574,0.44097995545657015,0.9657534246575342,0.05357142857142857,0.8894009216589862,0.36525612472160357,0.38530066815144765,Steve Henson,0.43927511105043643,-0.08654567659388661
6,376,0.5556792873051225,0.8084632516703786,0.8853006681514477,0.821826280623608,0.29287305122494434,0.5812917594654788,0.4420935412026726,0.765033407572383,0.7015590200445434,0.14794520547945206,0.7053571428571429,0.3191244239631336,0.5879732739420935,0.6169265033407573,Adam Keefe,0.5076346875668267,0.6091507390924149
7,377,0.17371937639198218,0.23162583518930957,0.39643652561247217,0.8006681514476615,0.40200445434298443,0.6414253897550112,0.8919821826280624,0.611358574610245,0.6859688195991092,0.8479452054794521,0.4140625,0.04377880184331797,0.41202672605790647,0.7438752783964365,Jon Koncak,0.4368668361971676,-0.11105472519814281
8,378,0.23051224944320714,0.3051224944320713,0.18151447661469933,0.044543429844097995,0.6080178173719376,0.3530066815144766,0.15924276169265034,0.40311804008908686,0.2906458797327394,0.7753424657534247,0.24888392857142858,0.22235023041474655,0.4643652561247216,0.4053452115812918,Travis Mays,0.28577771410661923,-1.648690943034896
9,379,0.042316258351893093,0.07126948775055679,0.5968819599109132,0.5623608017817372,0.06570155902004454,0.17037861915367483,0.811804008908686,0.33296213808463254,0.12249443207126949,0.7287671232876712,0.09151785714285714,0.3099078341013825,0.22494432071269488,0.2561247216035635,Blair Rasmussen,0.2754204266852009,-1.7540972094646756
10,383,0.18596881959910913,0.0935412026726058,0.18151447661469933,0.2561247216035635,0.9320712694877505,0.9665924276169265,0.2650334075723831,0.9498886414253898,0.2516703786191537,0.6082191780821918,0.07589285714285714,0.16820276497695852,0.22828507795100222,0.289532293986637,Morlon Wiley,0.34420034822430606,-1.0541229362994853
11,384,0.9821826280623608,0.8396436525612472,0.5968819599109132,0.5133630289532294,0.6636971046770601,0.3530066815144766,0.39532293986636974,0.09799554565701558,0.977728285077951,0.8602739726027397,0.6026785714285714,0.8248847926267281,0.9933184855233853,0.888641425389755,Dominique Wilkins*,0.5800651765641365,1.3462768909747744
12,385,0.8641425389755011,0.5924276169265034,0.9131403118040089,0.9743875278396437,0.40200445434298443,0.2884187082405345,0.5211581291759465,0.45657015590200445,0.8452115812917594,0.4958904109589041,0.7790178571428571,0.20967741935483872,0.9376391982182628,0.9443207126948775,Kevin Willis,0.5519790606782499,1.0604440764944723
13,1610,0.024498886414253896,0.0757238307349666,0.044543429844097995,0.15924276169265034,0.8975501113585747,0.21380846325167038,0.05011135857461024,0.9866369710467706,0.021158129175946547,0.14794520547945206,0.08370535714285714,0.8398617511520737,0.10690423162583519,0.13808463251670378,John Bagley,0.24344603249958396,-2.0795010893927666
14,1611,0.9565701559020044,0.36414253897550114,0.9955456570155902,0.6102449888641426,0.4888641425389755,0.534521158129176,0.05011135857461024,0.3752783964365256,0.2026726057906459,0.14794520547945206,0.6919642857142857,0.9930875576036866,0.0801781737193764,0.05902004454342984,Kenny Battle,0.4327417483162649,-0.15303580523667895
15,1612,0.8518930957683741,0.6603563474387528,0.14587973273942093,0.37861915367483295,0.9198218262806236,0.9142538975501113,0.5211581291759465,0.5400890868596881,0.8719376391982183,0.6589041095890411,0.5814732142857143,0.6900921658986175,0.7661469933184856,0.8040089086859689,Dee Brown,0.5667083594518552,1.2103443667619658
16,1613,0.544543429844098,0.47438752783964366,0.27728285077951004,0.06792873051224944,0.9844097995545658,0.3530066815144766,0.21158129175946547,0.9020044543429844,0.6224944320712695,0.4328767123287671,0.796875,0.10138248847926268,0.6425389755011136,0.7371937639198218,Sherman Douglas,0.4274208249684937,-0.20718692041069428
