,index,PER_percentile,TS%_percentile,ORB%_percentile,DRB%_percentile,AST%_percentile,STL%_percentile,BLK%_percentile,TOV%_percentile,WS_percentile,3P%_percentile,2P%_percentile,FT%_percentile,PTS_percentile,MP_percentile,Player Name,Main Percentile,Adjusted Percentile
0,521,0.943,0.7233400402414487,0.65,0.82,0.67,0.572,0.73,0.5573440643863179,0.914,0.48271604938271606,0.6360887096774194,0.7170781893004116,0.974,0.952,Shareef Abdur-Rahim,0.6259711368658875,1.723910361179201
1,522,0.214,0.12374245472837023,0.637,0.564,0.062,0.511,0.711,0.030181086519114688,0.326,0.3111111111111111,0.08266129032258064,0.8034979423868313,0.314,0.334,Cal Bowdler,0.3126795923378672,-1.2150906148218583
2,523,0.38,0.5895372233400402,0.662,0.558,0.275,0.109,0.823,0.744466800804829,0.199,0.10493827160493827,0.686491935483871,0.448559670781893,0.166,0.14,Chris Crawford,0.3830662601343714,-0.5547903642580057
3,524,0.089,0.1891348088531187,0.277,0.142,0.63,0.625,0.298,0.903420523138833,0.02,0.6345679012345679,0.08971774193548387,0.9351851851851852,0.345,0.409,Emanual Davis,0.3452017440231459,-0.9099989606928401
4,525,0.502,0.4336016096579477,0.349,0.521,0.598,0.732,0.47,0.4879275653923541,0.419,0.5728395061728395,0.45060483870967744,0.5576131687242798,0.614,0.52,Dion Glover,0.44717244591047317,0.04659242392898112
5,526,0.532,0.6800804828973843,0.699,0.764,0.133,0.402,0.806,0.506036217303823,0.375,0.9962962962962963,0.8528225806451613,0.11008230452674897,0.302,0.28,Alan Henderson,0.4772211921112942,0.32848095859999127
6,527,0.35,0.5784708249496981,0.399,0.48,0.327,0.68,0.784,0.6287726358148893,0.52,0.6987654320987654,0.34274193548387094,0.7438271604938271,0.684,0.69,DerMarr Johnson,0.4811051992560701,0.36491699075173184
7,528,0.647,0.562374245472837,0.321,0.533,0.836,0.572,0.423,0.7635814889336016,0.572,0.5074074074074074,0.6582661290322581,0.3991769547325103,0.67,0.616,Toni Kukoc,0.4976537483719076,0.5201596165178352
8,529,0.608,0.4225352112676056,0.932,0.905,0.043,0.454,0.747,0.43158953722334004,0.698,0.10493827160493827,0.5917338709677419,0.17901234567901234,0.786,0.798,Nazr Mohammed,0.4601872824495093,0.16868514541735294
9,530,0.155,0.3028169014084507,0.6,0.624,0.217,0.109,0.51,0.5865191146881288,0.326,0.21481481481481482,0.5090725806451613,0.5195473251028807,0.54,0.58,Hanno Mottola,0.34758471577729577,-0.8876442038104596
10,531,0.38,0.8661971830985915,0.622,0.497,0.186,0.511,0.573,0.5492957746478874,0.611,0.254320987654321,0.8719758064516129,0.8744855967078189,0.5,0.552,Ira Newble,0.48641835657068205,0.41475993993447013
11,536,0.364,0.24044265593561368,0.622,0.632,0.163,0.454,0.711,0.28470824949698187,0.326,0.3567901234567901,0.48689516129032256,0.13168724279835392,0.374,0.368,Mark Strickland,0.3431015621985375,-0.929700853514757
12,537,0.925,0.829979879275654,0.139,0.205,0.872,0.865,0.181,0.35110663983903423,0.946,0.8061728395061728,0.5161290322580645,0.8189300411522634,0.954,0.948,Jason Terry,0.5606212288020793,1.1108601626158823
13,538,0.502,0.8209255533199196,0.079,0.249,0.918,0.625,0.102,0.8501006036217303,0.72,0.9160493827160494,0.6582661290322581,0.7932098765432098,0.646,0.728,Jacque Vaughn,0.5253034363488778,0.7795424864668582
