,index,PER_percentile,TS%_percentile,ORB%_percentile,DRB%_percentile,AST%_percentile,STL%_percentile,BLK%_percentile,TOV%_percentile,WS_percentile,3P%_percentile,2P%_percentile,FT%_percentile,PTS_percentile,MP_percentile,Player Name,Main Percentile,Adjusted Percentile
0,682,0.296,0.18167202572347266,0.5456,0.8832,0.412,0.8216,0.9584,0.6688102893890675,0.2016,0.9970817120622568,0.3808373590982287,0.010067114093959731,0.0824,0.0976,Hilton Armstrong,0.42928456669113235,-0.15666411475305697
1,683,0.436,0.8030546623794212,0.0952,0.2104,0.7904,0.3424,0.188,0.45819935691318325,0.724,0.9348249027237354,0.2536231884057971,0.23741610738255034,0.6464,0.716,Mike Bibby,0.4079945478536458,-0.3657731656045821
2,684,0.0976,0.6085209003215434,0.6232,0.5776,0.236,0.1416,0.5168,0.9147909967845659,0.38,0.9970817120622568,0.5088566827697263,0.27181208053691275,0.2704,0.3904,Jason Collins,0.40961749149833376,-0.34983272855204833
3,685,0.644,0.6495176848874598,0.108,0.0376,0.768,0.4032,0.2832,0.45819935691318325,0.7496,0.5778210116731517,0.533816425120773,0.8565436241610739,0.8944,0.8688,Jamal Crawford,0.4642598735170428,0.18686086140757635
4,686,0.1576,0.11495176848874598,0.6544,0.56,0.7376,0.2368,0.0488,0.6864951768488746,0.0272,0.5340466926070039,0.09259259259259259,0.29697986577181207,0.2232,0.1792,Jordan Crawford,0.29137773975393527,-1.5111751608403852
5,687,0.1512,0.2909967845659164,0.4096,0.1768,0.2496,0.2368,0.2832,0.04983922829581994,0.4464,0.45428015564202334,0.3808373590982287,0.863255033557047,0.416,0.4832,Maurice Evans,0.29392057074393574,-1.4861996557056223
6,688,0.2688,0.5289389067524116,0.108,0.1112,0.7736,0.5352,0.4016,0.7009646302250804,0.4096,0.8891050583657587,0.30998389694041867,0.29697986577181207,0.408,0.424,Kirk Hinrich,0.38279815720369886,-0.6132503225725029
7,689,0.9568,0.8778135048231511,0.7336,0.9272,0.7632,0.3424,0.7416,0.2684887459807074,0.9768,0.9659533073929961,0.9146537842190016,0.6728187919463087,0.9224,0.9472,Al Horford,0.6709152089574777,2.216614868541869
8,690,0.8136,0.41961414790996787,0.3656,0.3464,0.8584,0.2368,0.1432,0.2427652733118971,0.8032,0.4027237354085603,0.6714975845410628,0.6921140939597316,0.9456,0.9208,Joe Johnson,0.4627676556754147,0.17220440389532954
9,692,0.168,0.2909967845659164,0.7808,0.6384,0.2584,0.0664,0.3272,0.837620578778135,0.0464,0.08949416342412451,0.3743961352657005,0.6812080536912751,0.4288,0.4128,Josh Powell,0.33254104771501003,-1.1068720776278214
10,693,0.9264,0.6165594855305466,0.6288,0.9272,0.7528,0.7864,0.884,0.5844051446945338,0.9048,0.5097276264591439,0.7359098228663447,0.4203020134228188,0.9392,0.9408,Josh Smith,0.6411002728648927,1.9237746867125434
11,694,0.2328,0.23713826366559485,0.8968,0.0408,0.7048,0.9304,0.0488,0.9726688102893891,0.1424,0.08949416342412451,0.1570048309178744,0.9848993288590604,0.0528,0.0328,Pape Sy,0.36605369314373626,-0.7777132576841952
12,695,0.6744,0.44855305466237944,0.1376,0.3768,0.8472,0.9136,0.6968,0.6784565916398714,0.572,0.7334630350194552,0.3397745571658615,0.665268456375839,0.5568,0.528,Jeff Teague,0.509381046324227,0.6300378116507936
13,697,0.416,0.7395498392282959,0.4944,0.4264,0.5088,0.8216,0.4656,0.3528938906752412,0.536,0.24708171206225682,0.8349436392914654,0.4001677852348993,0.3728,0.4192,Damien Wilkins,0.44108245776614385,-0.04078606769367781
14,698,0.5928,0.704983922829582,0.5112,0.6328,0.4,0.2368,0.436,0.15514469453376206,0.792,0.556420233463035,0.6280193236714976,0.8288590604026845,0.7376,0.772,Marvin Williams,0.48084181566003736,0.3497275178095516
